sep=	
time (source1)	x	time (source1)	y	time (source1)	z
14.873	-52	14.872	-56	14.872	-368
14.901	-88	14.905	24	14.9	-292
14.934	-48	14.933	136	14.93	-284
14.964	-32	14.956	-16	14.956	-268
14.985	-20	14.982	136	14.984	-44
15.014	-28	15.015	172	15.012	16
15.04	-20	15.04	112	15.039	-52
15.073	0	15.066	68	15.068	-292
15.096	24	15.098	140	15.097	-504
15.131	8	15.123	72	15.124	-732
15.154	-16	15.151	-24	15.151	-1172
15.181	-32	15.182	-48	15.18	-1032
15.214	-104	15.206	-188	15.207	-1880
15.237	-104	15.234	-68	15.235	-1776
15.264	-388	15.265	-264	15.266	-2040
15.297	-20	15.29	-296	15.296	-2040
15.32	-76	15.321	-148	15.324	-1696
15.351	76	15.349	120	15.351	-1812
15.38	-44	15.384	28	15.381	-1544
15.415	-208	15.405	-168	15.408	-1088
15.436	-124	15.435	-236	15.436	-1012
15.465	-96	15.465	-220	15.466	-976
15.498	-40	15.494	-204	15.491	-780
15.521	-40	15.52	-144	15.52	-796
15.551	-64	15.549	-208	15.55	-624
15.581	-44	15.581	-100	15.576	-140
15.606	-44	15.605	-8	15.604	-8
15.635	-48	15.634	56	15.633	36
15.665	-72	15.664	176	15.663	44
15.688	-80	15.687	164	15.687	-80
15.718	12	15.716	88	15.716	-328
15.747	32	15.749	96	15.746	-504
15.773	-12	15.772	80	15.772	-872
15.802	-68	15.8	-12	15.799	-968
15.83	-100	15.836	-12	15.831	-1872
15.865	-136	15.856	-244	15.855	-1420
15.885	-12	15.883	-76	15.884	-1504
15.914	-284	15.915	-244	15.912	-1912
15.94	-136	15.939	-108	15.942	-2040
15.969	-240	15.969	-56	15.971	-2040
16	-356	16.001	8	15.999	-1944
16.033	-420	16.034	88	16.028	-1720
16.057	-168	16.054	12	16.055	-1248
16.084	-204	16.083	-164	16.084	-1132
16.115	-184	16.114	-148	16.113	-1016
16.145	-176	16.138	-128	16.139	-920
16.169	-164	16.168	-120	16.168	-840
16.198	-148	16.2	-124	16.195	-692
16.23	-120	16.223	-32	16.223	-332
16.254	-132	16.251	-100	16.251	-272
16.281	-76	16.285	-44	16.284	-24
16.315	-28	16.32	80	16.307	32
16.336	-20	16.338	120	16.335	92
16.368	44	16.365	76	16.364	-140
16.397	72	16.39	156	16.391	-336
16.42	48	16.419	188	16.42	-924
16.449	16	16.452	140	16.449	-1024
16.484	-96	16.48	-80	16.475	-1256
16.506	-96	16.504	-172	16.504	-1416
16.535	-208	16.536	56	16.534	-1380
16.567	-64	16.565	-96	16.562	-1484
16.589	-156	16.588	-208	16.587	-2040
16.619	-112	16.616	-232	16.616	-2040
16.647	-196	16.647	712	16.647	-940
16.672	128	16.672	52	16.675	-1180
16.703	-692	16.702	372	16.703	-876
16.733	-212	16.735	68	16.735	-732
16.767	-4	16.764	-276	16.761	-748
16.789	-4	16.79	-160	16.787	-944
16.82	-76	16.815	20	16.816	-1360
16.846	-48	16.846	-64	16.846	-1252
16.872	-300	16.871	108	16.871	-964
16.902	88	16.9	-48	16.9	-932
16.931	-124	16.932	36	16.93	-1000
16.956	-132	16.955	56	16.955	-1040
16.986	-140	16.985	72	17.01	-1016
17.016	-52	17.044	104	17.085	-1004
17.075	-48	17.101	204	17.116	-820
17.133	-24	17.161	228	17.168	-1012
17.17	-12	17.196	612	17.19	-1052
17.228	-44	17.237	264	17.228	-292
17.253	-88	17.26	212	17.251	-1408
17.292	-64	17.298	220	17.288	-1132
17.312	24	17.317	296	17.303	-1060
17.35	44	17.35	208	17.313	-1016
17.372	36	17.355	192	17.319	-1032
17.387	36	17.365	200	17.326	-1024
17.397	36	17.372	196	17.336	-1012
17.403	32	17.381	196	17.351	-1016
17.414	32	17.387	200	17.381	-1024
17.419	36	17.414	200	17.407	-1028
17.438	28	17.435	192	17.435	-1016
17.466	32	17.465	192	17.464	-1012
17.498	32	17.489	196	17.496	-1024
17.52	36	17.518	204	17.52	-1028
17.549	32	17.552	196	17.547	-1004
17.581	28	17.573	212	17.576	-1020
17.604	24	17.602	200	17.603	-1020
17.633	32	17.636	196	17.636	-1016
17.668	28	17.664	204	17.663	-1028
17.688	40	17.689	200	17.687	-1008
17.72	28	17.717	208	17.718	-1012
17.748	36	17.748	200	17.749	-1008
17.772	28	17.771	204	17.785	-1012
17.802	24	17.818	200	17.816	-1012
17.843	36	17.85	196	17.853	-1016
17.876	28	17.893	200	17.885	-1016
17.917	32	17.926	196	17.911	-1012
17.95	28	17.95	200	17.937	-1020
17.977	28	17.977	200	17.971	-1012
18	36	18.01	208	17.995	-1008
18.031	40	18.033	208	18.018	-1012
18.06	36	18.059	204	18.054	-1020
18.088	28	18.093	196	18.085	-1016
18.118	36	18.126	200	18.111	-1012
18.15	32	18.153	200	18.136	-1012
18.177	32	18.176	196	18.169	-1012
18.202	28	18.209	196	18.205	-1016
