X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-79.855109,43.259511,"0","0","106",86.2,2025/10/26 01:33:25+00,,,,,,,,,,,,,,,,,,,,,
-79.855109,43.259504,"0","0","107",86.2,2025/10/26 01:33:26+00,,,,,,,,,,,,,,,,,,,,,
-79.855107,43.259496,"0","0","108",86.2,2025/10/26 01:33:27+00,,,,,,,,,,,,,,,,,,,,,
-79.855104,43.259489,"0","0","109",86.2,2025/10/26 01:33:28+00,,,,,,,,,,,,,,,,,,,,,
-79.855102,43.259481,"0","0","110",86.3,2025/10/26 01:33:29+00,,,,,,,,,,,,,,,,,,,,,
-79.8551,43.259472,"0","0","111",86.3,2025/10/26 01:33:30+00,,,,,,,,,,,,,,,,,,,,,
-79.854861,43.259439,"0","0","112",86.6,2025/10/26 01:34:11+00,,,,,,,,,,,,,,,,,,,,,
-79.854853,43.259437,"0","0","113",86.6,2025/10/26 01:34:12+00,,,,,,,,,,,,,,,,,,,,,
-79.854853,43.259437,"0","0","114",86.6,2025/10/26 01:34:13+00,,,,,,,,,,,,,,,,,,,,,
-79.854853,43.259437,"0","0","115",86.6,2025/10/26 01:34:14+00,,,,,,,,,,,,,,,,,,,,,
-79.854853,43.259437,"0","0","116",86.6,2025/10/26 01:34:15+00,,,,,,,,,,,,,,,,,,,,,
-79.854856,43.259435,"0","0","117",86.6,2025/10/26 01:34:16+00,,,,,,,,,,,,,,,,,,,,,
-79.854856,43.259435,"0","0","118",86.6,2025/10/26 01:34:17+00,,,,,,,,,,,,,,,,,,,,,
-79.854856,43.259435,"0","0","119",86.6,2025/10/26 01:34:18+00,,,,,,,,,,,,,,,,,,,,,
-79.854856,43.259435,"0","0","120",86.6,2025/10/26 01:34:19+00,,,,,,,,,,,,,,,,,,,,,
-79.854859,43.259433,"0","0","121",86.6,2025/10/26 01:34:20+00,,,,,,,,,,,,,,,,,,,,,
-79.854864,43.259435,"0","0","122",86.6,2025/10/26 01:34:21+00,,,,,,,,,,,,,,,,,,,,,
-79.854867,43.259436,"0","0","123",86.6,2025/10/26 01:34:22+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","124",86.6,2025/10/26 01:34:23+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","125",86.6,2025/10/26 01:34:24+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","126",86.6,2025/10/26 01:34:25+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","127",86.6,2025/10/26 01:34:26+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","128",86.6,2025/10/26 01:34:27+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","129",86.6,2025/10/26 01:34:28+00,,,,,,,,,,,,,,,,,,,,,
-79.854871,43.259435,"0","0","130",86.6,2025/10/26 01:34:29+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","131",86.6,2025/10/26 01:34:30+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","132",86.6,2025/10/26 01:34:31+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","133",86.6,2025/10/26 01:34:32+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","134",86.6,2025/10/26 01:34:33+00,,,,,,,,,,,,,,,,,,,,,
-79.854868,43.259423,"0","0","135",86.6,2025/10/26 01:34:34+00,,,,,,,,,,,,,,,,,,,,,
